 name                                               | tier
 Perfected Luminite Hoe                             | 7    
 Rough Vibrant Module                               | -1   
 Emerald Inlaid Exquisite Stone Module              | 5    
 High Quality Elenvar Ingot                         | 4    
 Zesty Roasted Fish                                 | 3    
 Decayed Luminite Machete                           | 6    
 Perfected Luminite Knife                           | 7    
 Decayed Elenvar Pickaxe                            | 4    
 Ambrosial Roasted Fish                             | 6    
 Rough Repaired Hand Power Source                   | 1    
 Simple Leather Torso Power Source                  | 2    
 Peerless Unpowered Leather Module                  | 6    
 Fine Mortar                                        | 4    
 Perfected Pyrelite Hammer                          | 2    
 Rough Raw Pelt                                     | 1    
 High Quality Pyrelite Torso Power Source           | 1    
 Peerless Rock                                      | 6    
 High Quality Luminite Torso Power Source           | 6    
 Schematic: Perfected Pyrelite Hammer               | 1    
 Schematic: Perfected Aurumite Knife                | 2    
 Exquisite Mushroom                                 | 5    
 Exquisite Surging Module                           | -1   
 Deed: Dev                                          | -1   
 Rough Fabric                                       | 1    
 Diamond Inlaid Lirium Hand Power Source            | 5    
 Perfected Luminite Pot                             | 7    
 Sapphire Inlaid Exquisite Cloth Torso Power Source | 5    
 Knapped Flint                                      | 1    
 Infused Embergrain                                 | 3    
 Ruby Inlaid Exquisite Leather Module               | 5    
 Simple Repaired Ancient Gear                       | 2    
 Deed: Mask Pattern - Arch Yellow                   | -1   
 Perfected Aurumite Hammer Recipe                   | 2    
 Luminite Nails                                     | 6    
 Simple Brick                                       | 2    
 Ancient Journal Page #1                            | -1   
 Molten Ferralith                                   | 3    
 Auric Ingot                                        | -1   
 Rough Rope                                         | 1    
 Massive Fine Diamond                               | 4    
 Wavecrest Eel Products                             | 3    
 Exquisite Unpowered Leather Module                 | 5    
 Unpowered Pyrelite Module                          | 1    
 Diamond Inlaid Lirium Leg Power Source             | 5    
 Decayed Ferralith Hammer                           | 3    
 Sturdy Repaired Ancient Mechanism                  | 3    
 Exquisite Repaired Ancient Connector               | 5    
 Simple Surging Module                              | -1   
 Sturdy Heated Torso Power Source                   | 3    
 Fine Wispweave Seeds                               | 4    
 Ocean Belt                                         | 1    
 Decayed Luminite Axe                               | 6    
 Novice Study Journal                               | 2    
 Proficient Building Blueprint                      | 4    
 Deed: Hair Color - Hexite                          | -1   
 Overloaded Ferralith Leg Power Source              | 3    
 Deed: Mask - Feline Mask                           | -1   
 Simple Bait and Shells                             | 2    
 Overloaded Lirium Head Power Source                | 5    
 Succulent Raw Berry Pie                            | 5    
 Hunter's Bow Recipe                                | 1    
 Sturdy Wood Log                                    | 3    
 Exquisite Stone Head Power Source                  | 5    
 Serpentfish Scale                                  | 2    
 Overloaded Peerless Cloth Head Power Source        | 6    
 Exquisite Blank Journal                            | 5    
 Ruby Inlaid Rough Leather Leg Power Source         | 1    
 Apprehensive Adventurer's Note                     | -1   
 Molten Lirium                                      | 5    
 Rough Leather Hand Power Source                    | 1    
 Pyrelite Helmet                                    | 1    
 Schematic: Perfected Lirium Hoe                    | 5    
 Mask Fragment                                      | -1   
 Grand Fine Diamond                                 | 4    
 Schematic: Perfected Elenvar Pot                   | 4    
 Uncut Sturdy Diamond                               | 3    
 Fine Clay Lump                                     | 4    
 Starseeker Researcher's Robe                       | 5    
 Savory Chilling Tea                                | 2    
 Infused Embergrain Flour                           | 3    
 Infused Fertilizer                                 | 3    
 Ruby Inlaid Rough Leather Head Power Source        | 1    
 Oceancrest Marlin Filet                            | 1    
 Aurumite Ingot                                     | 2    
 Uncut Fine Sapphire                                | 4    
 Overloaded Elenvar Torso Power Source              | 4    
 Lirium Scissors                                    | 5    
 Ruby Inlaid Exquisite Leather Leg Power Source     | 5    
 Decayed Luminite Hammer                            | 6    
 Pyrelite Torso Power Source                        | 1    
 Infused Starbulb Plant                             | 3    
 Leather Bonnet                                     | 1    
 Overloaded Pyrelite Torso Power Source             | 1    
 Luminite Machete                                   | 6    
 Fine Leather Torso Power Source                    | 4    
 High Quality Fine Leather Torso Power Source       | 4    
 Warming Energy                                     | -1   
 Exquisite Embergrain Plant                         | 5    
 Lirium Head Power Source                           | 5    
 Schematic: Exquisite Overloaded Cloth Module       | 5    
 Ferralith Ingot Output                             | 3    
 Tiny Simple Sapphire                               | 2    
 Uncut Simple Ruby                                  | 2    
 Immortal Soldier's Cap                             | 3    
 Tiny Fine Emerald                                  | 4    
 Uncut Rough Sapphire                               | 1    
 Immortal Recruit's Gloves                          | 1    
 Savory Ground Meat and Mashed Bulbs                | 2    
 Sturdy Pebbles                                     | 3    
 Starseeker Scribe's Robe                           | 3    
 Schematic: Perfected Elenvar Saw                   | 4    
 Small Piece of Auric Ore                           | -1   
 Infused Bait and Shells                            | 3    
 High Quality Ferralith Head Power Source           | 3    
 Exquisite Heated Torso Power Source                | 5    
 High Quality Simple Leather Torso Power Source     | 2    
 Perfected Ferralith Hammer Recipe                  | 3    
 Schematic: Overloaded Aurumite Module              | 2    
 Schematic: Heated Capacitor                        | -1   
 Tiny Simple Ruby                                   | 2    
 Peerless Repaired Ancient Wires                    | 6    
 High Quality Rough Leather Head Power Source       | 1    
 Grand Fine Ruby                                    | 4    
 Simple Cloth Output                                | 2    
 Savory Jam Sandwich                                | 2    
 Zesty Skewered Baitfish                            | 3    
 Sapphire Inlaid Peerless Cloth Torso Power Source  | 6    
 Tropical Shirt and Skirt                           | 1    
 Ferralith Bow                                      | 3    
 Simple Cloth Hand Power Source                     | 2    
 Massive Sturdy Diamond                             | 3    
 Decayed Lirium Hoe                                 | 5    
 Ambrosial Chilling Tea                             | 6    
 Diamond Inlaid Luminite Head Power Source          | 6    
 Peerless Pigment                                   | 6    
 Peerless Gem                                       | 6    
 Ragged Shorts                                      | 1    
 Deed: Hairstyle - High Ponytail                    | -1   
 Immortal Sergeant's Boots                          | 1    
 Simple Clay Lump                                   | 2    
 Decayed Pyrelite Bow                               | 1    
 Azure Shark Scale                                  | 5    
 Decayed Aurumite Bow                               | 2    
 Tiny Peerless Emerald                              | 6    
 Ferralith Hammer                                   | 3    
 Fine Bait                                          | 4    
 Perfected Luminite Tool Research                   | 6    
 Rough Cloth Torso Power Source                     | 1    
 Ruby Inlaid Sturdy Leather Head Power Source       | 3    
 Pyrelite Pot                                       | 1    
 Short Sleeved Rough Shirt                          | 1    
 Rough Cloth Head Power Source                      | 1    
 Schematic: Perfected Pyrelite Knife                | 1    
 Flint Machete                                      | 1    
 Ferralith Machete                                  | 3    
 Exquisite Sapphire                                 | 5    
 Perfected Pyrelite Quill                           | 2    
 Fine Bait and Shells                               | 4    
 Grand Exquisite Ruby                               | 5    
 Grand Sturdy Emerald                               | 3    
 Ragged Long Sleeve Rough Shirt                     | 1    
 Exquisite Cloth Leg Power Source                   | 5    
 Developer Chisel                                   | 3    
 Exquisite Cleaned Pelt                             | 5    
 Grass Sandals                                      | 1    
 Exquisite Vibrant Module                           | -1   
 Badly Damaged Torso Power Source                   | 1    
 Decayed Lirium Bow                                 | 5    
 Decayed Lirium Chisel                              | 5    
 Perfected Ferralith Rod                            | 4    
 Schematic: Perfected Pyrelite Saw                  | 1    
 Perfected Luminite Saw                             | 7    
 Exquisite Bait                                     | 5    
 Decayed Ancient Pot                                | -1   
 Perfected Pyrelite Pickaxe                         | 2    
 Succulent Bulb Rolls                               | 5    
 Deed: Hair Color - White                           | -1   
 Perfected Aurumite Tool Research                   | 2    
 Succulent Raw Bulb Rolls                           | 5    
 Beginner's Stone Diagrams                          | 1    
 Perfected Aurumite Tipped Quill Recipe             | 2    
 Rough Forester's Pot                               | 1    
 Decayed Elenvar Quill                              | 4    
 Simple Leather                                     | 2    
 Rough Vest                                         | 1    
 Uncut Fine Diamond                                 | 4    
 Simple Chum                                        | 2    
 Ambrosial Dumpling                                 | 6    
 Basic Ink                                          | 1    
 Decayed Pyrelite Quill                             | 1    
 Exquisite Repaired Ancient Gear                    | 5    
 Uncut Exquisite Diamond                            | 5    
 Fine Cleaned Pelt                                  | 4    
 Infused Embergrain Seeds                           | 3    
 Succulent Dumpling                                 | 5    
 Diamond Inlaid Pyrelite Module                     | 1    
 Breezy Fin Darter                                  | 1    
 Perfected Luminite Bow                             | 7    
 Hexfin Perch                                       | 6    
 Deed: Hairstyle - Full Mohawk                      | -1   
 Leather Trousers                                   | 1    
 Peerless Repaired Ancient Connector                | 6    
 Schematic: Perfected Luminite Pickaxe              | 6    
 Schematic: Perfected Aurumite Quill                | 2    
 Exquisite Wispweave Plant                          | 5    
 Sturdy Raw Pelt                                    | 3    
 Simple Forester's Pot                              | 2    
 High Quality Simple Cloth Head Power Source        | 2    
 Essential Building Blueprint                       | 3    
 Overloaded Fine Cloth Module                       | 4    
 Aurumite Hammer                                    | 2    
 Tiny Peerless Ruby                                 | 6    
 Lirium Machete                                     | 5    
 Fine Cloth Torso Power Source                      | 4    
 Emerald Inlaid Peerless Stone Head Power Source    | 6    
 Ancient Components                                 | -1   
 Brico's Mallet                                     | 1    
 Decayed Ferralith Tool                             | 3    
 Sapphire Inlaid Fine Cloth Leg Power Source        | 4    
 Schematic: Perfected Elenvar Hoe                   | 4    
 Ancient Trapsmith's Journal Page #2                | -1   
 Zesty Raw Berry Pie                                | 3    
 Immortal Soldier's Belt                            | 3    
 Fine Berry                                         | 4    
 Fine Pigment                                       | 4    
 Master Tool                                        | 1    
 Deed: Mask Pattern - Runic Blue                    | -1   
 Decayed Elenvar Bow                                | 4    
 Exquisite Starbulb Products                        | 5    
 Exquisite Embergrain                               | 5    
 High Quality Simple Cloth Torso Power Source       | 2    
 Ambrosial Raw Berry Pie                            | 6    
 Schematic: Fine Overloaded Leather Module          | 4    
 Decayed Ferralith Pickaxe                          | 3    
 Peerless Shell                                     | 6    
 Schematic: Perfected Luminite Scissors             | 6    
 Simple Leather Head Power Source                   | 2    
 Rough Stone Hand Power Source                      | 1    
 Decayed Lirium Axe                                 | 5    
 Fine Pebbles Output                                | 4    
 Ocean Armwraps                                     | 1    
 Ambrosial Vegetable Stew                           | 6    
 High Quality Luminite Head Power Source            | 6    
 High Quality Sturdy Leather Hand Power Source      | 3    
 Rough Surging Module                               | -1   
 Savory Raw Dumpling                                | 2    
 Unpowered Elenvar Module                           | 4    
 Fingerless Leather Gloves                          | 1    
 Lirium Leg Power Source                            | 5    
 Zesty Raw Bulb Rolls                               | 3    
 Simple Starbulb Products                           | 2    
 Tiny Simple Diamond                                | 2    
 Overloaded Peerless Leather Torso Power Source     | 6    
 High Quality Exquisite Leather Module              | 5    
 Schematic: Rough Overloaded Leather Module         | 1    
 Perfected Ferralith Axe Recipe                     | 3    
 Uncut Fine Emerald                                 | 4    
 Studded Leather Pants                              | 1    
 Schematic: Sturdy Overloaded Stone Module          | 3    
 Sturdy Untreated Plank                             | 3    
 Elenvar Machete                                    | 4    
 Badly Damaged Hand Power Source                    | 1    
 Elenvar Leg Power Source                           | 4    
 Decayed Aurumite Saw                               | 2    
 Sturdy Plant Fiber                                 | 3    
 Perfected Aurumite Hoe                             | 3    
 Simple Starbulb                                    | 2    
 High Quality Aurumite Module                       | 2    
 Comprehensive Stone Diagram Research               | 6    
 Perfected Pyrelite Scissors Recipe                 | 1    
 Rough Spool Of Thread                              | 1    
 Decayed Pyrelite Chisel                            | 1    
 Overloaded Exquisite Leather Torso Power Source    | 5    
 Sturdy Unpowered Stone Module                      | 3    
 Sapphire Inlaid Rough Cloth Leg Power Source       | 1    
 Emerald Inlaid Rough Stone Leg Power Source        | 1    
 Flint Tool Bundle                                  | 1    
 Maple Seed                                         | 3    
 Peerless Ink                                       | 6    
 Novice Stone Diagrams                              | 2    
 Decayed Ancient Saw                                | -1   
 Rough Repaired Torso Power Source                  | 1    
 Well Made Long Shorts                              | 1    
 High Quality Peerless Leather Torso Power Source   | 6    
 Sturdy Cloth                                       | 3    
 Rough Plank                                        | 1    
 Mossfin Chub Products                              | 4    
 Schematic: Perfected Ferralith Pot                 | 3    
 Zesty Berry Pie                                    | 3    
 Schematic: Perfected Pyrelite Rod                  | 1    
 High Quality Sturdy Cloth Head Power Source        | 3    
 Fine Charcoal                                      | 4    
 Rough Pulsing Module                               | -1   
 Unpowered Lirium Module                            | 5    
 Plain Skewered Baitfish                            | 1    
 Basic Starbulb                                     | 1    
 Deed: Expert's Skiff                               | 1    
 Elenvar Chisel                                     | 4    
 Rough Short Skirt                                  | 1    
 Heated Capacitor                                   | -1   
 Massive Peerless Emerald                           | 6    
 Perfected Aurumite Axe Recipe                      | 2    
 Schematic: Perfected Pyrelite Pickaxe              | 1    
 Schematic: Perfected Pyrelite Axe                  | 1    
 Schematic: Perfected Ferralith Rod                 | 3    
 Schematic: Simple Overloaded Stone Module          | 2    
 Peerless Embergrain Plant                          | 6    
 High Quality Aurumite Leg Power Source             | 2    
 Simple Pigment                                     | 2    
 Simple Cleaned Pelt                                | 2    
 Overloaded Exquisite Leather Head Power Source     | 5    
 Simple Embergrain Seeds                            | 2    
 Schematic: Perfected Elenvar Bow                   | 4    
 Infused Mushroom                                   | 3    
 Sturdy Leather Torso Power Source                  | 3    
 Overloaded Exquisite Leather Hand Power Source     | 5    
 Simple Starbulb Seeds                              | 2    
 Seastorm Tuna Scale                                | 4    
 Schematic: Cooling Capacitor                       | -1   
 Deed: Mask - Pointed Ear Mask                      | -1   
 Sunrise Shrimp                                     | 6    
 Energy or Notes                                    | -1   
 Exquisite Unpowered Stone Module                   | 5    
 Exquisite Pigment                                  | 5    
 Overloaded Ferralith Module                        | 3    
 Perfected Lirium Tool Research                     | 5    
 Schematic: Perfected Lirium Bow                    | 5    
 Immortal Recruit's Cap                             | 1    
 High Quality Fine Plank                            | 4    
 Deed: Mask Pattern - Waves Blue                    | -1   
 Simple Embergrain                                  | 2    
 Diamond Inlaid Luminite Module                     | 6    
 Rough Pebbles Output                               | 1    
 Coralcrest Darter                                  | 3    
 Exquisite Fabric                                   | 5    
 High Quality Exquisite Leather Hand Power Source   | 5    
 Perfected Lirium Machete                           | 6    
 Fine Heated Module                                 | 4    
 Ambrosial Mushroom Skewer                          | 6    
 Simple Plank Output                                | 2    
 Peerless Forester's Pot                            | 6    
 Schematic: Peerless Overloaded Stone Module        | 6    
 Potted Dendro Sapling                              | 2    
 Fine Gem                                           | 4    
 Crushed Piece of Auric Ore                         | -1   
 Elenvar Scissors                                   | 4    
 High Quality Aurumite Torso Power Source           | 2    
 Sturdy Leather Head Power Source                   | 3    
 High Quality Peerless Cloth Leg Power Source       | 6    
 Overloaded Sturdy Leather Torso Power Source       | 3    
 High Quality Rough Leather Module                  | 1    
 Plain Dumpling                                     | 1    
 Sturdy Shell                                       | 3    
 Peerless Tannin                                    | 6    
 Emerald Inlaid Fine Stone Hand Power Source        | 4    
 Zesty Roasted Ocean Fish                           | 3    
 Rough Unpowered Leather Module                     | 1    
 Ferralith Ingot                                    | 3    
 Zesty Dumpling                                     | 3    
 Decayed Aurumite Chisel                            | 2    
 Hex Coin                                           | -1   
 Emerald Inlaid Fine Stone Torso Power Source       | 4    
 Overloaded Ferralith Torso Power Source            | 3    
 Dried Infused Flowers                              | 3    
 Pyrelite Quill                                     | 1    
 Overloaded Luminite Torso Power Source             | 6    
 Fine Heated Torso Power Source                     | 4    
 Schematic: Perfected Luminite Quill                | 6    
 Immortal Recruit's Tunic                           | 1    
 Massive Exquisite Emerald                          | 5    
 Ferralith Scissors                                 | 3    
 Exquisite Plank                                    | 5    
 Perfected Aurumite Pickaxe Recipe                  | 2    
 Helpful Adventurer's Note                          | -1   
 Perfected Pyrelite Sickle Recipe                   | 1    
 Perfected Ferralith Sickle Recipe                  | 3    
 Rough Overloaded Module                            | -1   
 Simple Pulsing Module                              | -1   
 Exquisite Cloth Hand Power Source                  | 5    
 Zesty Trailmix                                     | 3    
 Schematic: Perfected Lirium Saw                    | 5    
 Aurumite Armguards                                 | 2    
 Schematic: Perfected Pyrelite Pot                  | 1    
 Uncut Exquisite Emerald                            | 5    
 Simple Mortar                                      | 2    
 Exquisite Wispweave Filament                       | 5    
 Fine Dried Pelt                                    | 4    
 Lirium Pot                                         | 5    
 High Quality Luminite Ingot                        | 6    
 Simple Bait                                        | 2    
 Grand Simple Ruby                                  | 2    
 Overloaded Pyrelite Head Power Source              | 1    
 Massive Fine Sapphire                              | 4    
 Emerald Inlaid Sturdy Stone Hand Power Source      | 3    
 Exquisite Embergrain Dough                         | 5    
 Rough Wood Log                                     | 1    
 Sapphire Inlaid Rough Cloth Hand Power Source      | 1    
 Rough Leather Head Power Source                    | 1    
 Sapphire Inlaid Sturdy Cloth Leg Power Source      | 3    
 Rough Diamond                                      | 1    
 Perfected Pyrelite Saw Recipe                      | 1    
 Decayed Luminite Bow                               | 6    
 Cypress Seed                                       | 4    
 Novice Stone Diagram Research                      | 2    
 Grand Peerless Emerald                             | 6    
 Decayed Elenvar Bow                                | 4    
 Blue Cobblestone Road Recipe                       | -1   
 Perfected Aurumite Knife                           | 3    
 Diamond Inlaid Aurumite Module                     | 2    
 Fine Twine                                         | 4    
 Exquisite Leather Leg Power Source                 | 5    
 Fine Forester's Pot                                | 4    
 Overloaded Simple Cloth Leg Power Source           | 2    
 Ambrosial Bulb Rolls                               | 6    
 Schematic: Perfected Aurumite Axe                  | 2    
 Peerless Berry                                     | 6    
 Schematic: Overloaded Ferralith Module             | 3    
 Red Cobblestone Road Recipe                        | -1   
 Simple Repaired Ancient Connector                  | 2    
 Decayed Elenvar Rod                                | 4    
 Fine Radiant Module                                | -1   
 Serpentfish Filet                                  | 2    
 Perfected Aurumite Sickle Recipe                   | 2    
 Ferralith Hoe                                      | 3    
 Simple Mushroom                                    | 2    
 Grand Exquisite Emerald                            | 5    
 Overloaded Fine Leather Torso Power Source         | 4    
 Rough Unpowered Cloth Module                       | 1    
 Simple Raw Meat                                    | 2    
 Uncut Peerless Diamond                             | 6    
 Beginner's Stone Diagram Research                  | 1    
 Decayed Pyrelite Knife                             | 1    
 Infused Gem Dust                                   | 3    
 Fine Starbulb Seeds                                | 4    
 Grand Peerless Ruby                                | 6    
 Succulent Vegetable Stew                           | 5    
 Perfected Elenvar Scissors                         | 5    
 Infused Berry                                      | 3    
 Fine Glowing Module                                | 4    
 Savory Hot Tea                                     | 2    
 Flint Hoe                                          | 1    
 Elenvar Ore Piece                                  | 4    
 Potted Willow Sapling                              | 3    
 Fine Wispweave Products                            | 4    
 Ferralith Pot                                      | 3    
 Grand Fine Emerald                                 | 4    
 Deed: Mask - Uneven Horn Mask                      | -1   
 High Quality Fine Leather Hand Power Source        | 4    
 Peerless Raw Pelt                                  | 6    
 Ruby Inlaid Peerless Leather Head Power Source     | 6    
 Aurumite Head Power Source                         | 2    
 Luminite Leg Power Source                          | 6    
 Rough Untreated Plank                              | 1    
 High Quality Luminite Hand Power Source            | 6    
 Overloaded Simple Leather Hand Power Source        | 2    
 Flint Bow                                          | 1    
 Schematic: Perfected Ferralith Saw                 | 3    
 Essential Stone Diagrams                           | 3    
 Simple Overloaded Module                           | -1   
 Basic Flower                                       | 1    
 Schematic: Perfected Luminite Hoe                  | 6    
 Sturdy Cloth Head Power Source                     | 3    
 Basic Crop Oil                                     | 1    
 Simple Unpowered Leather Module                    | 2    
 Diamond Inlaid Pyrelite Torso Power Source         | 1    
 Overloaded Luminite Head Power Source              | 6    
 Empty Bucket                                       | -1   
 Rough Parchment                                    | 1    
 Damaged Ancient Gear                               | -1   
 High Quality Peerless Cloth Hand Power Source      | 6    
 Plain Raw Dumpling                                 | 1    
 Decayed Ferralith Quill                            | 3    
 Decayed Ferralith Knife                            | 3    
 Rough Repaired Ancient Resistor                    | 1    
 Sturdy Ruby                                        | 3    
 Sturdy Cloth Torso Power Source                    | 3    
 Deed: Mask Pattern - Waves Pink                    | -1   
 Ferralith Hand Power Source                        | 3    
 Sturdy Repaired Ancient Resistor                   | 3    
 Tiny Peerless Diamond                              | 6    
 Loose Rough Pants                                  | 1    
 Fine Plank                                         | 4    
 Massive Simple Sapphire                            | 2    
 Rough Brick                                        | 1    
 High Quality Fine Cloth Torso Power Source         | 4    
 Rough Shell                                        | 1    
 Simple Rough Armwraps                              | 1    
 High Quality Simple Leather                        | 2    
 Exquisite Raw Meat                                 | 5    
 Schematic: Perfected Pyrelite Machete              | 1    
 Decayed Ferralith Pot                              | 3    
 Sturdy Pulsing Module                              | -1   
 Massive Peerless Sapphire                          | 6    
 Massive Rough Ruby                                 | 1    
 Grand Sturdy Sapphire                              | 3    
 Lirium Ore Concentrate                             | 5    
 Comprehensive Building Blueprint                   | 6    
 Ancient Research                                   | 1    
 High Quality Rough Cloth Torso Power Source        | 1    
 Massive Exquisite Ruby                             | 5    
 Overloaded Luminite Leg Power Source               | 6    
 Decayed Luminite Quill                             | 6    
 Perfected Pyrelite Axe Recipe                      | 1    
 Schematic: Perfected Luminite Rod                  | 6    
 Fine Hot Tea                                       | 4    
 Decayed Ferralith Scissors                         | 3    
 Pyrelite Nails                                     | 1    
 Sapphire Inlaid Rough Cloth Module                 | 1    
 Pyrelite Rod                                       | 1    
 Aurumite Ore Piece                                 | 2    
 Perfected Pyrelite Tipped Quill Recipe             | 1    
 Schematic: Perfected Aurumite Hammer               | 2    
 Tiny Fine Diamond                                  | 4    
 Deed: Cart                                         | 1    
 Grand Rough Sapphire                               | 1    
 Fine Rock                                          | 4    
 Peerless Pulsing Module                            | -1   
 Aurumite Pot                                       | 2    
 Pine Seed                                          | 3    
 Pyrelite Plated Pants                              | 1    
 Schematic: Perfected Lirium Chisel                 | 5    
 Basic Wispweave Plant                              | 1    
 Sturdy Overloaded Module                           | -1   
 Aurumite Quill                                     | 2    
 Flint Pot                                          | 1    
 Perfected Elenvar Saw                              | 5    
 Decayed Elenvar Machete                            | 4    
 Simple Belt                                        | 1    
 Ferralith Head Power Source                        | 3    
 Simple Sapphire                                    | 2    
 Ruby Inlaid Sturdy Leather Hand Power Source       | 3    
 Simple Spool Of Thread                             | 2    
 Crushed Ferralith Ore                              | 3    
 Fine Unfired Forester's Pot                        | 4    
 Overloaded Elenvar Head Power Source               | 4    
 Emerald Inlaid Exquisite Stone Leg Power Source    | 5    
 Ruby Inlaid Exquisite Leather Head Power Source    | 5    
 Luminite Knife                                     | 6    
 Perfected Aurumite Rod                             | 3    
 Exquisite Untreated Plank                          | 5    
 Simple Berry                                       | 2    
 High Quality Exquisite Leather Leg Power Source    | 5    
 Rough Emerald                                      | 1    
 Wooden Armguards                                   | 1    
 Savory Mushroom Skewer                             | 2    
